ID,name
"84088378-c4fc-482d-8777-5d9aefb1ba79","Kepler-22b Baby Division"
"a53a1ee1-06cd-4814-be2b-2775c4822fbf","Kepler-22b Sports Division"
"3e143a31-4dc1-4653-bf21-788aa67785da","Mars Jewelry Division"
"709d8d2a-14e5-4736-9463-c930d8a33e1c","Mars Movies Division"
"49f27403-7462-4145-ae26-9aa437b88fed","Proxima Centauri b Automotive Division"
"8eea5c6d-659e-48a9-a6dc-0335ede1c7ec","Proxima Centauri b Toys Division"
"5311037b-0055-4a80-a56a-acf3badce63a","TRAPPIST-1e Shoes Division"
"f1b3d093-f0a9-4d0d-96ac-d05e529561c3","TRAPPIST-1e Clothing Division"
"bffc2ba0-1c34-4bb5-8f19-b34fc34cd0d0","TRAPPIST-1d Clothing Division"
"55e4827c-fdd4-4a42-a7d8-5b9f2893b9e9","TRAPPIST-1d Clothing Division"
"018afbbb-c8ea-441b-be5b-6b5698c09221","Kepler-452b Electronics Division"
"c08d325b-473a-4cb8-81b8-f168b475ffa9","Kepler-452b Home Division"
"6794b256-0a9e-49f9-bd6b-c67426fb5843","Kepler-186f Grocery Division"
"fd37450d-9c45-4125-833c-f2bb18cf58d1","Kepler-186f Electronics Division"
"1eba7d3e-04d8-4653-8cff-5f58a1b7674a","Gliese 581g Jewelry Division"
"a163e4bc-1950-4885-bbb1-8d3b6081dce3","Gliese 581g Books Division"
"44c58805-f430-47f0-9da1-e7afdd1b97a5","HD 40307g Electronics Division"
"e42d8176-7d34-4f15-bfd7-724ba3064513","HD 40307g Garden Division"
"8fb74e79-0ec2-4a4b-a2ea-e590e02167b1","55 Cancri e Health Division"
"bf91fbad-91b0-4a57-b528-b482c55ff396","55 Cancri e Outdoors Division"
